Service Pack,Cumulative Update,Release Date,Build,Support Ends
,"<a href=""https://support.microsoft.com/kb/5029185"">GDR</a>",2023/10/12,12.0.6449.1,2024/07/09
,"<a href=""https://support.microsoft.com/kb/5021045"">GDR</a>",2023/02/14,12.0.6444.4,2024/07/09
,"<a href=""https://support.microsoft.com/en-us/topic/kb5014164-description-of-the-security-update-for-sql-server-2014-sp3-cu4-june-14-2022-f3400be9-b2d3-4873-ae58-15e6e0cc686e"">Security Update</a>",2022/06/13,12.0.6439.10,2024/07/09
,"<a href=""https://support.microsoft.com/en-us/help/4583462/kb4583462-security-update-for-sql-server-2014-sp3-cu4"">Security Update</a>",2021/01/12,12.0.6433.1,2024/07/09
,"<a href=""https://support.microsoft.com/en-us/help/4535288/description-of-the-security-update-for-sql-server-2014-sp3-cu4-feb"">Security Update</a>",2020/02/11,12.0.6372.1,2024/07/09
,"<a href=""https://support.microsoft.com/en-us/help/4500181/cumulative-update-4-for-sql-server-2014-sp3"">CU4</a>",2019/07/29,12.0.6329.1,2024/07/09
,"<a href=""https://support.microsoft.com/en-us/help/4505422/security-update-for-sql-server-2014-sp3-cu3-gdr-july-9-2019"">Security Update</a>",2019/07/09,12.0.6293.0,2024/07/09
,"<a href=""https://support.microsoft.com/en-us/help/4491539/cumulative-update-3-for-sql-server-2014-sp3"">CU3</a>",2019/04/16,12.0.6259.0,2024/07/09
,"<a href=""https://support.microsoft.com/en-us/help/4482960/cumulative-update-2-for-sql-server-2014-sp3"">CU2</a>",2019/02/19,12.0.6214.1,2024/07/09
,"<a href=""https://support.microsoft.com/en-us/help/4470220/cumulative-update-1-for-sql-server-2014-sp3"">CU1</a>",2018/12/12,12.0.6205.1,2024/07/09
,"<a href=""https://support.microsoft.com/en-us/help/4532095/description-of-the-security-update-for-sql-server-2014-sp3-gdr-feb"">Security Update</a>",2020/02/11,12.0.6118.4,2024/07/09
"<a href=""https://support.microsoft.com/en-us/help/4022619"">SP3</a>",,2018/10/30,12.0.6024.0,2024/07/09
,"<a href=""https://support.microsoft.com/en-us/help/4500180/cumulative-update-18-for-sql-server-2014-sp2"">CU18</a>",2019/07/29,12.0.5687.1,2020/01/14- out of support
,"<a href=""https://support.microsoft.com/en-us/help/4491540/cumulative-update-17-for-sql-server-2014-sp2"">CU17</a>",2019/04/16,12.0.5632.1,2020/01/14- out of support
,"<a href=""https://support.microsoft.com/en-us/help/4482967/cumulative-update-16-for-sql-server-2014-sp2"">CU16</a>",2019/02/19,12.0.5626.1,2020/01/14- out of support
,"<a href=""https://support.microsoft.com/en-us/help/4469137/cumulative-update-15-for-sql-server-2014-sp2"">CU15</a>",2018/12/13,12.0.5605.1,2020/01/14- out of support
,"<a href=""https://support.microsoft.com/en-us/help/4459860/cumulative-update-14-for-sql-server-2014"">CU14</a>",2018/10/15,12.0.5600.1,2020/01/14- out of support
,"<a href=""https://support.microsoft.com/en-us/help/4456287/cumulative-update-13-for-sql-server-2014-sp2"">CU13</a>",2018/08/27,12.0.5590.1,2020/01/14- out of support
,"<a href=""https://support.microsoft.com/en-us/help/4130489/cumulative-update-12-for-sql-server-2014-sp2"">CU12</a>",2018/06/18,12.0.5589.7,2020/01/14- out of support
,"<a href=""https://support.microsoft.com/en-us/help/4077063/cumulative-update-11-for-sql-server-2014-sp2"">CU11</a>",2018/03/20,12.0.5579,2020/01/14- out of support
,"<a href=""https://support.microsoft.com/en-us/help/4052725/cumulative-update-10-for-sql-server-2014-sp2"">CU10</a>",2018/01/17,12.0.5571,2020/01/14- out of support
,"<a href=""https://support.microsoft.com/en-us/help/4055557/cumulative-update-9-for-sql-server-2014-sp2"">CU9</a>",2017/12/18,12.0.5563,2020/01/14- out of support
,"<a href=""https://support.microsoft.com/en-us/help/4037356/cumulative-update-8-for-sql-server-2014-sp2"">CU8</a>",2017/10/17,12.0.5557,2020/01/14- out of support
,"<a href=""https://support.microsoft.com/en-us/help/4032541/cumulative-update-7-for-sql-server-2014-sp2"">CU7</a>",2017/08/30,12.0.5556,2020/01/14- out of support
,"<a href=""https://support.microsoft.com/en-us/help/4019094/cumulative-update-6-for-sql-server-2014-sp2"">CU6</a>",2017/08/08,12.0.5553,2020/01/14- out of support
,"<a href=""https://support.microsoft.com/en-us/help/4013098/cumulative-update-5-for-sql-server-2014-sp2"">CU5</a>",2017/04/17,12.0.5546,2020/01/14- out of support
,"<a href=""https://support.microsoft.com/en-us/help/4010394/cumulative-update-4-for-sql-server-2014-sp2"">CU4</a>",2017/02/21,12.0.5540,2020/01/14- out of support
,"<a href=""https://support.microsoft.com/en-us/kb/3204388"">CU3</a>",2016/12/27,12.0.5538,2020/01/14- out of support
