Cumulative Update,Release Date,Build,Support Ends
"<a href=""https://support.microsoft.com/help/5090354"">CU31 GDR</a>",2026/05/12,14.0.3530.2,2027/10/12
"<a href=""https://support.microsoft.com/help/5084818"">CU31 GDR</a>",2026/04/14,14.0.3525.1,2027/10/12
"<a href=""https://support.microsoft.com/help/5077471"">CU31 GDR</a>",2026/03/10,14.0.3520.4,2027/10/12
"<a href=""https://support.microsoft.com/help/5068402"">CU31 GDR</a>",2025/11/11,14.0.3515.1,2027/10/12
"<a href=""https://support.microsoft.com/en-us/topic/kb5065225-description-of-the-security-update-for-sql-server-2017-cu31-september-9-2025-b1addb22-3bfd-4870-b914-c020c2a3d2be"">CU31 GDR</a>",2025/09/09,14.0.3505.1,2027/10/12
"<a href=""https://support.microsoft.com/en-us/topic/kb5063759-description-of-the-security-update-for-sql-server-2017-cu31-august-12-2025-7f5dfab6-e32b-4af3-87fe-0e527b5729d3"">CU31 GDR</a>",2025/08/12,14.0.3500.1,2027/10/12
"<a href=""https://support.microsoft.com/en-us/topic/kb5058714-description-of-the-security-update-for-sql-server-2017-cu31-july-8-2025-cdc42d67-b4a1-4e6a-9f7a-11da1e733218"">CU31 GDR</a>",2025/07/09,14.0.3495.9,2027/10/12
"<a href=""https://support.microsoft.com/en-us/topic/kb5046858-description-of-the-security-update-for-sql-server-2017-cu31-november-12-2024-2984d3a5-0683-4f9b-9e6a-3888e67bd859"">CU31 GDR</a>",2024/11/12,14.0.3485.1,2027/10/12
"<a href=""https://support.microsoft.com/en-us/topic/kb5046061-description-of-the-security-update-for-sql-server-2017-cu31-october-8-2024-af669e75-bc43-4679-bfbe-e153e679dd2f"">CU31 GDR</a>",2024/10/08,14.0.3480.1,2027/10/12
"<a href=""https://support.microsoft.com/en-us/topic/kb5042215-description-of-the-security-update-for-sql-server-2017-cu31-september-10-2024-55bba26f-548d-466c-9c48-edfb51a53a8a"">CU31 GDR</a>",2024/09/10,14.0.3475.1,2027/10/12
"<a href=""https://support.microsoft.com/en-us/topic/kb5040940-description-of-the-security-update-for-sql-server-2017-cu31-july-9-2024-bff7ab26-e882-4419-aebb-30356125f5c9"">CU31 GDR</a>",2024/07/09,14.0.3471.2,2027/10/12
"<a href=""https://support.microsoft.com/kb/5029376"">CU31 GDR</a>",2023/10/12,14.0.3465.1,2027/10/12
"<a href=""https://support.microsoft.com/kb/5021126"">CU31 GDR</a>",2023/02/14,14.0.3460.9,2027/10/12
"<a href=""https://support.microsoft.com/en-us/topic/kb5016884-cumulative-update-31-for-sql-server-2017-6aa612d0-c97e-4c54-a41f-37f53777ba4c"">CU31</a>",2022/09/20,14.0.3456.2,2027/10/12
"<a href=""https://support.microsoft.com/en-us/topic/kb5013756-cumulative-update-30-for-sql-server-2017-274943fa-8dde-4844-90ed-d3b587fa0c7c"">CU30</a>",2022/07/13,14.0.3451.2,2027/10/12
